Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Primary Artist,Label_Category,Label_Category_encoded,is_unknown_genre,Genres_encoded
I Can't Get My Head Around You,Drop Cherries,Billie Marten,2023-04-07,206427,40,"indie, folk, indie pop, british, female vocalists",Fiction Records,0.529,0.578,8.0,-7.853,1.0,0.0272,0.498,0.0467,0.108,0.627,145.783,100.0,df_liked,Billie Marten,Large Label,57.35639873166448,0,69.55380723766339
Dangerous,Blondshell,Blondshell,2023-04-07,278984,0,"indie rock, dream pop, indie, indie pop",PTKF,0.345,0.223,9.0,-12.807,1.0,0.0324,0.317,0.00458,0.115,0.235,183.898,100.0,df_liked,Blondshell,Large Label,57.35639873166448,0,67.79013042122249
Devil Swim,Drop Cherries,Billie Marten,2023-04-07,216714,22,"indie, folk, indie pop, british, female vocalists",Fiction Records,0.348,0.185,9.0,-13.256,1.0,0.0356,0.942,0.0127,0.362,0.295,66.771,100.0,df_liked,Billie Marten,Large Label,57.35639873166448,0,69.55380723766339
Tongue,Drop Cherries,Billie Marten,2023-04-07,250541,19,"indie, folk, indie pop, british, female vocalists",Fiction Records,0.399,0.174,0.0,-12.344,1.0,0.033,0.982,0.0663,0.11,0.153,137.665,100.0,df_liked,Billie Marten,Large Label,57.35639873166448,0,69.55380723766339
This Is Paradise (But Not For Us),Strange Strangers,Devon Church,2023-04-07,317368,1,gothic country,felte,0.293,0.598,4.0,-7.561,1.0,0.0385,0.00739,8.91e-05,0.079,0.391,183.905,100.0,df_liked,Devon Church,Medium Label,82.18317385590217,0,64.48663435645288
Time To Pretend,Time To Pretend,Charlie Hickey,2023-03-21,208050,16,"indie, folk, indie pop, indie rock",Dead Oceans,0.689,0.259,2.0,-11.673,1.0,0.0333,0.869,2.92e-05,0.0984,0.341,99.95,100.0,df_liked,Charlie Hickey,Large Label,57.35639873166448,0,69.28507166310492
New Suede Shoes,Winner,Overcoats,2023-04-07,151023,10,"female vocalists, electronic, pop, indie pop, indietronica",Never Fall Back Records,0.654,0.721,4.0,-7.273,1.0,0.13,0.334,7.77e-05,0.0686,0.732,159.815,100.0,df_liked,Overcoats,Large Label,57.35639873166448,0,64.6212412369911
Tramp Like You,Hydranism,Oracle Sisters,2023-04-07,324959,0,"indie pop, dream pop, french, indie, france",22TWENTY,0.597,0.193,4.0,-14.156,1.0,0.039,0.896,0.562,0.0508,0.0749,140.012,100.0,df_liked,Oracle Sisters,Large Label,57.35639873166448,0,65.5846048309821
Hum with the worms,What a beautiful thing i have made,The Hackles,2023-04-07,246367,0,"folk, country",Jealous Butcher Records,0.688,0.468,5.0,-13.865,1.0,0.0492,0.603,0.113,0.12,0.246,110.134,100.0,df_liked,The Hackles,Medium Label,82.18317385590217,0,64.8302958921723
Slouching Toward Bethlehem,Strange Strangers,Devon Church,2023-04-07,225835,3,gothic country,felte,0.537,0.653,7.0,-8.423,1.0,0.0307,0.00201,0.0324,0.483,0.52,140.094,100.0,df_liked,Devon Church,Medium Label,82.18317385590217,0,64.48663435645288
Sepsis,Blondshell,Blondshell,2023-04-07,226660,0,"indie rock, dream pop, indie, indie pop",PTKF,0.566,0.692,7.0,-5.398,1.0,0.0293,0.00449,3.73e-06,0.29,0.415,135.991,100.0,df_liked,Blondshell,Large Label,57.35639873166448,0,67.79013042122249
Zoom,Jesus At The Gay Bar,Cub Sport,2023-04-07,209816,0,"australian, pop, indie pop, indie, power pop",Cub Sport Records / Believe,0.474,0.472,0.0,-8.505,1.0,0.0295,0.409,0.0,0.364,0.232,115.935,100.0,df_liked,Cub Sport,Small Label,95.78337448860036,0,66.55052060479359
Time,Nico Paulo,Nico Paulo,2023-04-07,192515,0,"indie pop, folk, Canadian, dream pop, portuguese",Forward Music Group,0.542,0.611,9.0,-7.218,1.0,0.03,0.464,9.45e-05,0.108,0.335,91.035,100.0,df_liked,Nico Paulo,Large Label,57.35639873166448,0,67.33060650254392
